First name,Last name,Gender,Email,Salary,Department,Position,Job title,Company
Buffy,Summers,Female,buffy.summers@sunnydalehs.edu,61000.00,Slayer Studies,Senior,Slayer Training Instructor,Sunnydale High School
Willow,Rosenberg,Female,willow.rosenberg@sunnydalehs.edu,68000.00,Magic & Computation,DepartmentHead,Head of Magical Sciences,Sunnydale High School
Xander,Harris,Male,xander.harris@sunnydalehs.edu,56000.00,Facilities,Senior,Campus Support Coordinator,Sunnydale High School
Rupert,Giles,Male,rupert.giles@sunnydalehs.edu,78000.00,Library,DepartmentHead,Chief Librarian & Watcher,Sunnydale High School
Faith,Lehane,Female,faith.lehane@sunnydalehs.edu,59000.00,Slayer Studies,Middle,Slayer Field Instructor,Sunnydale High School
Dawn,Summers,Female,dawn.summers@sunnydalehs.edu,45500.00,Student Support,Junior,Student Liaison,Sunnydale High School
Tara,Maclay,Female,tara.maclay@sunnydalehs.edu,54000.00,Guidance,Senior,School Counsellor,Sunnydale High School
Anya,Jenkins,Female,anya.jenkins@sunnydalehs.edu,52000.00,Finance and Administration,Senior,Accounting Specialist,Sunnydale High School
Cordelia,Chase,Female,cordelia.chase@sunnydalehs.edu,50000.00,Drama,Senior,Drama Teacher,Sunnydale High School
Angel,Unknown,Male,angel@sunnydalehs.edu,65000.00,Security,Senior,Night Security Supervisor,Sunnydale High School
Spike,Pratt,Male,spike.pratt@sunnydalehs.edu,64000.00,Security,Middle,Security Patrol Officer,Sunnydale High School
Oz,Osbourne,Male,oz.osbourne@sunnydalehs.edu,47000.00,Music,Middle,Music Teacher,Sunnydale High School
Joyce,Summers,Female,joyce.summers@sunnydalehs.edu,59000.00,Art,Senior,Art Teacher,Sunnydale High School
Beyoncé,Knowles,Female,beyonce@sunnydalehs.edu,98000.00,Performing Arts,DepartmentHead,Head of Performing Arts,Sunnydale High School
Ariana,Grande,Female,ariana.grande@sunnydalehs.edu,90000.00,Performing Arts,Senior,Vocal Performance Coach,Sunnydale High School
Cynthia,Erivo,Female,cynthia.erivo@sunnydalehs.edu,94000.00,Performing Arts,Senior,Musical Theatre Instructor,Sunnydale High School
Kendra,Young,Female,kendra.young@sunnydalehs.edu,58500.00,Slayer Studies,Middle,Slayer Apprentice Mentor,Sunnydale High School
Wesley,Wyndham-Pryce,Male,wesley.wyndhampryce@sunnydalehs.edu,62000.00,Library,Middle,Assistant Librarian,Sunnydale High School
Andrew,Wells,Male,andrew.wells@sunnydalehs.edu,44000.00,Computer Science,Junior,CS Teacher,Sunnydale High School
Jonathan,Levinson,Male,jonathan.levinson@sunnydalehs.edu,43000.00,Mathematics,Junior,Maths Teacher,Sunnydale High School
Principal,Snyder,Male,principal.snyder@sunnydalehs.edu,82000.00,Senior Management,Principal,School Principal,Sunnydale High School
Glory,Benison,Female,glory@sunnydalehs.edu,72000.00,Student Support,Senior,Behaviour Specialist,Sunnydale High School
Harmony,Kendall,Female,harmony.kendall@sunnydalehs.edu,41000.00,Reception,Junior,School Receptionist,Sunnydale High School
Jenny,Calendar,Female,jenny.calendar@sunnydalehs.edu,54000.00,Computer Science,Senior,Computer Science Teacher,Sunnydale High School
Riley,Finn,Male,riley.finn@sunnydalehs.edu,60000.00,Physical Education,Senior,PE Teacher,Sunnydale High School
Maggie,Walsh,Female,maggie.walsh@sunnydalehs.edu,76000.00,Science,DepartmentHead,Head of Science,Sunnydale High School
Ben,Wilkins,Male,ben.wilkins@sunnydalehs.edu,52000.00,Nursing,Senior,School Nurse,Sunnydale High School
